symbol,curr_id,industry,sector,employees,equity_type,isin,description
ABC,998115,Wireless Telecommunication Services,Communication Services,200,ORD,VN000000ABC8,"VMG Media Joint Stock Company (VMG) is a Vietnam-based company primarily engaged in the provision of services on mobile phones and the Internet. Its leading business activities include the delivery of electronic content, such as lottery results, news, games, logos and ringtones, via text messages; the distribution of copyrighted music, soccer live streams and live shows, among others, and the provision of mobile transaction services, such as electronic wallet, mobile banking and e-commerce. The Company is also involved in providing software solutions, content platforms and services for telecommunication carriers."
SVT,997936,Diversified Consumer Services,Consumer Discretionary,-,ORD,VN000000SVT2,"Saigon Viendong Technology Joint Stock Company is a Vietnam-based company engaged in the auto/truck/motor cycle parts industry. The Company manufactures and trades spare parts for bicycles, motorbikes, automobiles. It also assembles and provides maintenance and repair services for such vehicles. In addition, it trades industrial supplies, mechanical and plastic products, electrical, refrigeration and consumer electronic products, as well as handicrafts. Moreover, the Company also manufactures and trades paper and paper-related products, printing ink, materials, supplies and equipment for the paper and printing industries. Other activities include package printing, real estate trading, office and warehouse leasing, as well as the operation of language schools."
DTT,997935,Chemicals,Materials,-,ORD,VN000000DTT8,"Do Thanh Technology Corporation is a Vietnam-based manufacturer of plastic products. The Company manufactures and trades plastic products from polyethylene terephthalate (PET), polypropylene (PP) and polyethylene (PE) resins. Its products include plastic bottles, containers, pipes and shapes for household usage, as well as other plastic components for industrial production. The Company also designs and produces molds for plastic product manufacturing activities. During the year ended December 31, 2012, 80.97% of the Company's net revenue came from the sale of plastic products. As of December 31, 2012, it had one joint venture named Dai Thanh Long Plastic Joint Stock Company. As of the same date, Saigon Industry Corporation held 18.96% stake in the Company."
DRL,997934,Independent Power and Renewable Electricity Producers,Utilities,-,ORD,VN000000DRL9,"Hydro Power Joint Stock Company - Power No.3 is a Vietnam-based company engaged in the electric utilities industry. The Company is involved in the operation and exploitation of Dray H'Linh 2 hydropower electricity plant, which is located in Cu Jut District, Dak Nong Province, Vietnam, with an installed capacity of 16 megawatts (MW). It is also active in the investment and development of hydropower electricity projects, as well as the provision of consulting services for such projects. In addition, it constructs industrial and civil projects. During the year ended December 31, 2012, the Company's plant produced a total of 80,695,290 kilowatt hours (kWh). As of December 31, 2012, the Company was an affiliate of Central Power Corporation (EVNCPC)."
SPV,997918,Food Products,Consumer Staples,3000,ORD,VN000000SPV0,"Special Aquatic Products Joint Stock Company (Seaspimex) is a Vietnam-based company, which is principally engaged in the manufacture and commerce of processed seafood products. The Company's products are both distributed within Vietnam and exported to various markets. Seaspimex's major products consumed domestically include different types of canned tuna, processed meat products, sausages and frozen seafood. Its main exports are frozen seafood and canned seafood, such as frozen crab meat, octopus, scallop and clam, as well as canned tuna and canned pasteurized swimming crabmeat. Besides, the Company partakes in the wholesale of food products and the provision of seafood and meat processing services."
MH3,997916,Construction Services,Capital Goods,-,ORD,VN000000MH35,"Binh Long Rubber Industrial Park Corporation (BLIP) is a Vietnam-based company primarily engaged in real estate development and operations sector. The Company's leading business activities include the construction and management of industrial zone infrastructure, as well as commercial and residential properties; the leasing of office space, warehouses and storage yards, and the provision of support services to tenants, such as water supply and sewer treatment."
NUE,997917,Commercial Services & Supplies,Industrials,-,ORD,VN000000NUE7,"Nha Trang Urban Environmental Joint Stock Company, formerly Nha Trang Urban Environment Co Ltd, headquartered in Vietnam, is a provider of environment services. It also offers funeral services."
DVC,997914,"Oil, Gas & Consumable Fuels",Energy,-,ORD,VN000000DVC0,"Hai Phong Port Trading & Services JSC {Haiphong Port}, headquartered in Vietnam, is a provider of gasoline station services .The company offers marine transportation, freight unloading, warehouse services. It was founded in 2000."
EIN,997915,"Hotels, Restaurants & Leisure",Consumer Discretionary,-,ORD,VN000000EIN2,"Electricity Investment Service Trade JSC, formerly Power Investment - Trade - Service JSC, is a Vietnam-based company primarily engaged in diversified trading activities. The Company's main businesses include the wholesale of steel, other metal products and fertilizers. It is also involved in the operation of travel tours and air tickets agency, the management of hotels and restaurants, as well as the provision of electricity bills collection services. In addition, the Company is involved in the development of real estate projects, including single-family and multifamily residential properties, hotels, resorts and water parks."
DPP,997913,Pharmaceuticals,Healthcare,-,ORD,VN000000DPP4,"Dong Nai Pharmaceutical Joint Stock Company (DONAIPHARM) is a Vietnam-based company operating in the pharmaceutical industry, with major undertakings as the retail and merchant wholesale of pharmaceutical products in the southern area, including Ho Chi Minh city and Dong Nai province. The Company's leading products include drugs, health supplements, medical equipment and medical supplies, which are not only manufactured by the Company, but also imported from overseas markets, such as France and Canada, among others. Besides, the Company is engaged in the provision of commercial real estate property leasing services."
DGT,997912,Construction & Engineering,Industrials,-,ORD,VN000000DGT5,"Dona Transportation Construction Joint-Stock Company (DOTRANCO) is a Vietnam-based company operating in the construction industry. The Company's major undertakings are the construction and maintenance of traffic structures, such as bridges, roads, highways and stations, as well as residential, commercial and industrial buildings in Dong Nai, Daknong, Lam Dong and Binh Phuoc provinces. Besides, DOTRANCO is engaged in the development and leasing of industrial parks. Other regular business activities of the Company include hot mix asphalt concrete (HMAC) manufacturing, construction sand mining and other construction material wholesaling."
DAP,997910,Paper & Forest Products,Materials,-,ORD,VN000000DAP6,"Dong A Joint Stock Company (DOPACK) is a Vietnam-based company operating in the packaging industry. The Company is engaged in the manufacture and commerce of paper packaging, with leading products as cardboard boxes and containers, which are utilized in various industries. Other regular business activities of the Company include paperboard and paper product manufacturing, as well as lithographic and flexographic printing service providing."
DDM,997911,Marine,Industrials,1000,ORD,VN000000DDM7,"Dong Do Marine Joint Stock Company (DONG DO MARINE) is a Vietnam-based company engaged in marine transportation industry, with major business activities as deep sea freight transportation and freighter ship leasing. In order to support its main undertakings, the Company provides related services such as freight forwarding, truck transportation, shipping brokerage and marine agency. Regular activities of the Company also include cargo handling, marine towing and crew supplying. In addition, since September, 2013, DONG DO MARINE has expanded its business into inland water freight transportation with the establishment of one internal route Hai Phong - Ho Chi Minh."
CNT,997908,Construction Materials,Materials,286,ORD,VN000000CNT3,"Construction and Materials Trading Joint Stock Company (C&T) is a Vietnam-based company operating in the construction industry, with major undertaking as construction material wholesaling. Apart from basic construction material such as cement, steel, brick and stone, the Company also engages in the diversified trading of agricultural and household goods, and its clients are from both within Vietnam and abroad. C&T's other three business segment includes its Construction segment, comprised of its industrial and commercial infrastructures erection as well as architectural services; its Manufacture segment, comprised of its construction material production, and its Investment segment, comprised of its real estate speculation."
CKD,997907,Iron & Steel,Basic Materials,-,ORD,VN000000CKD3,"Dong Anh Licogi Mechanical Joint Stock Company is a Vietnam-based company, which is engaged in the manufacture and commerce of industrial metal products. The Company's leading products include steel, iron, aluminum and other alloy castings, including grinding balls and spare parts for mills, crushers, kiln rotaries and cement factories; fabricated structural metal, including steel bars and space frames; aluminum extruded products, such as door frames, as well as other metal tools and accessories. Besides, the Company operates as a metal service center, and it also conducts technical research in the designs and applications of alloy products."
BWA,997904,Water Utilities,Utilities,-,ORD,VN000000BWA6,"Baoloc Supply Sewerage and Construction Joint Stock Company is a Vietnam-based company operating in the water utility industry, which provides various services for the residences of Bao Loc city, Lam Dong province. The Company is engaged in the development and management of water supply systems, the distribution of water for household usage and manufacturing purposes, as well as the construction and operation of wastewater treatment and sewerage systems. Besides, the Company partakes in the production of bottled water, as well as the provision of tourism services in the area."
CCP,997905,,,,,,
ADP,997901,Chemicals,Materials,170,ORD,VN000000ADP6,"A Dong Paint Joint Stock Company engages in the production and sale of paint products and materials, and paint equipment in Vietnam and internationally. The company’s products include construction and decorative paints, paints for ships and high-strength projects, industry paints, and electrostatic coating powders. It also provides other technical services for products and raw materials, and paint equipment. The company was founded in 1970 and is headquartered in Ho Chi Minh City, Vietnam."
BHP,997902,,,,,,
BTV,997537,"Hotels, Restaurants & Leisure",Consumer Discretionary,-,ORD,VN000000BTV8,"Ben Thanh Tourist Service Corporation (BenThanh Tourist) is a Vietnam-based company primarily engaged in leisure and recreation sector. The Company's leading business activities include the operation of domestic and international travel tours; the distribution of goods, such as alcohol, beer, food and tobacco via a self-owned general line grocery; the management of hotels and restaurants in Ho Chi Minh city, and the leasing of office spaces, kiosks, as well as retail outlets."
VJC,997168,Airlines,Industrials,5538,ORD,VN000000VJC7,"Vietjet Aviation JSC is a Vietnam-based company primarily engaged in the airlines sector. The Company's business activities are divided into five segments, including air transportation, related services for customers, air transportation support activities, flight and flight attendant training, and aircraft dealing and leasing. It is involved in the provision of air transportation services of passengers and cargo via scheduled flights, the operation of chartered flight services and the rental of aircraft space for advertisement."
BTD,997536,,,,,,
TUG,997146,"Oil, Gas & Consumable Fuels",Energy,-,ORD,VN000000TUG9,"Haiphong Port Tugboat and Transport Joint Stock Company (HP TUTRANCO) is a Vietnam-based company, which is mainly engaged in the provision of marine freight support services, such as tugboat operation, shipping navigational control, marine cargo handling and others. Besides, the Company partakes in the coastal freight transportation of industrial supplies and the cleanup of marine oil spills. HP TUTRANCO operates mainly in the adjacent sea areas of Hai Phong and Quang Ninh province, Vietnam."
HLB,997144,Beverages,Consumer Staples,-,ORD,VN000000HLB4,"Halong Beer and Beverage Joint Stock Company (Halobeco) is a Vietnam-based company primarily engaged in brewing sector. The Company's leading business activities include the manufacture and trading of beer products, such as canned beer, draught beer and bottled beer, among others."
HTR,997145,,,,,,
EIC,997143,Independent Power and Renewable Electricity Producers,Utilities,-,ORD,VN000000EIC5,"EVN International Joint Stock Company (EVNI) is a Vietnam-based company primarily engaged in construction and engineering sector. The Company's leading business activities include the planning, design, oversight and management consultation of hydro power plants in Laos and Cambodia, as well as the leasing of office spaces. As of 2016, EVNI holds 10 percent equity in Ha Se San 2 hydro electric project."
BSQ,997141,Beverages,Consumer Staples,160,ORD,VN000000BSQ0,"Sai Gon Quang Ngai Beer Joint Stock Company (Sabeco QuangNgai) is a Vietnam-based company primarily engaged in brewing sector. Its leading business activities are the manufacture and the distribution of canned, bottled and draft beer. The Company's major products include canned Saigon Lager beer, bottled Saigon Lager, Saigon Export and Special beer, as well as Saigon draft beer."
CLX,997142,Trading Companies & Distributors,Industrials,100,ORD,VN000000CLX9,"Cho Lon Investment and Import Export Corporation (Cholimex) is a Vietnam-based company primarily engaged in investment, commercial and services sectors. The Company's leading business activities include the development and construction of industrial zones, as well as commercial and residential properties; the investment in subsidiaries which are involved in apparel manufacturing, agricultural products wholesale, raw materials supply and goods distribution, among others, and the provision of services, such as import export agency and office spaces leasing."
SBD,996568,IT Services,Information Technology,350,ORD,VN000000SBD8,"SaoBacDau Technologies Corporation (SBD Corp) is a Vietnam-based company operating in the information technology industry. The Company is mainly engaged in the provision of information and telecommunication system integration solutions. Together with its subsidiaries, SBD Corp operates as a telecom carrier, which provides telephone, cable television and Internet connections to users. Besides, the Company partakes in the development of solutions and applications on the cloud computing platform; the provision of data processing, hosting and related services, and the leasing, trading and repairing of telecommunications equipment. SBD Corp's subsidiaries include Sao Bac Dau Digital Technologies Joint Stock Company, Sao Bac Dau Technology Service Joint Stock Company and Sao Bac Dau Telecom Joint Stock Company."
X77,996569,,,,,,
PIA,996566,Software,Information Technology,-,ORD,VN000000PIA5,"Petrolimex Information Technology and Telecommunication Joint Stock Company (Piacom) is a Vietnam-based company engaged in the information technology (IT) services sector. The Company's main business activities are categorized into three segments: software, automation and IT services and equipment. The Company provides the programming of customized enterprise management software, such as petroleum stations system management and enterprise resources planning software; the consultation of strategic information technology application; the installation of IT infrastructure, internal network systems; the operation and maintenance of data centers, shared services, as well as automated systems, and the provision of computer software training. Piacom is also involved in the wholesale and supply of computers, printers, laptops, telecommunications hardware and peripherals."
PND,996567,"Oil, Gas & Consumable Fuels",Energy,120,ORD,VN000000PND9,"Petrovietnam Oil Nam Dinh Joint Stock Company (PV OIL Nam Dinh) is a Vietnam-based company operating in the oil and gas industry. The Company is principally engaged in the retail of petroleum products, such as A92, A95 and ES petrol, diesel fuel oils and gas. Besides, the Company partakes in the wholesale of petroleum and other related chemical products, as well as the truck transportation of these products. In order to support its major undertaking, PV OIL Nam Dinh establishes and manages various gasoline stations in Nam Dinh, Ha Nam and Ninh Binh province, Vietnam. The Company is a group member of Petrovietnam Oil Corporation."
GND,996564,Construction Materials,Materials,-,ORD,VN000000GND8,"Dong Nai Brick and Tile Corporation (TUILDONAI) is a Vietnam-based company, which is principally engaged in the manufacture and commerce of clay tiles used in the construction industry. The Company's leading products include clay floor tiles, roof tiles and wall tiles. Other regular undertakings of the Company are the leasing of office and the wholesaling of construction materials, machinery and equipment."
ONW,996565,,,,,,
EMG,996563,Machinery,Industrials,-,ORD,VN000000EMG8,"Electrical Mechanical Equipment and Spare Parts Joint Stock Company (Emesco) is a Vietnam-based company, which is principally engaged in the wholesale and retail of agricultural and industrial machinery and equipment. The Company's products include heavy machinery used in construction, farming, irrigation, food processing and other sectors, as well as industrial supplies, such as steel sheets and rubber. Other undertakings of the Company include the trading of agricultural products and household appliances, the manufacturing of automobile tires and the leasing of warehouses."
